customer_id,name,email,transaction_date,amount,status
1001,John Doe,john.doe@example.com,2026-08-01,150.00,SUCCESS
1001,John Doe,john.doe@example.com,2026-08-01,150.00,SUCCESS
1002,Jane Smith,jane.smith@example.com,2026-08-02,250.00,SUCCESS
1002,Jane Smith,jane.smith@example.com,2026-08-02,,SUCCESS
1003,Bob Johnson,bob.johnson@example.com,2026-08-03,300.00,SUCCESS
1003,Bob Johnson,bob.johnson@example.com,2026-08-04,320.00,SUCCESS
1004,Alice Brown,alice.brown@example.com,2026-08-05,400.00,SUCCESS
,Invalid Customer,invalid.email@example.com,2026-08-06,500.00,SUCCESS
,Invalid Customer,invalid.email@example.com,2026-08-06,,SUCCESS
1005,Charlie Green,charlie.green@example.com,2026-08-07,120.00,
